"issue_key","author_key","status","created_at","change_date","time_diff"
"PYTHON-109","mike","Closed","2010-03-05 18:51:36","2010-03-10 12:13:11","408095.000000"
"PYTHON-108","mike","Closed","2010-03-05 14:28:32","2010-08-19 15:58:33","14434201.000000"
"PYTHON-107","mike","Closed","2010-03-01 04:07:10","2010-03-02 12:08:58","115308.000000"
"PYTHON-106","mike","Closed","2010-02-28 19:54:09","2010-05-10 17:41:21","6126432.000000"
"PYTHON-105","mike","Closed","2010-02-19 22:54:44","2010-02-22 15:45:32","233448.000000"
"PYTHON-103","mike","Closed","2010-02-17 11:26:04","2010-04-05 17:37:34","4083090.000000"
"PYTHON-102","mike","Closed","2010-02-15 20:10:58","2010-02-16 10:24:07","51189.000000"
"PYTHON-101","mike","Closed","2010-02-15 08:04:43","2010-04-05 17:37:21","4267958.000000"
"PYTHON-3052","JIRAUSER1263701","Investigating","2021-12-22 17:04:43","2021-12-22 17:05:11","28.000000"
"PYTHON-3052","JIRAUSER1263701","In Code Review","2021-12-22 17:04:43","2021-12-23 16:55:35","85852.000000"
"PYTHON-3052","shane.harvey","In Progress","2021-12-22 17:04:43","2021-12-23 21:04:19","100776.000000"
"PYTHON-3050","JIRAUSER1263701","Investigating","2021-12-16 11:48:52","2021-12-16 11:51:27","155.000000"
"PYTHON-3050","JIRAUSER1263701","In Code Review","2021-12-16 11:48:52","2021-12-16 20:47:28","32316.000000"
"PYTHON-3050","JIRAUSER1263701","Closed","2021-12-16 11:48:52","2021-12-17 18:48:59","111607.000000"
"PYTHON-3049","behackett","Waiting (Blocked)","2021-12-14 21:53:57","2021-12-14 22:11:03","1026.000000"
"PYTHON-3049","dbeng-pm-bot","Needs Triage","2021-12-14 21:53:57","2021-12-15 17:05:35","69098.000000"
"PYTHON-3049","behackett","In Progress","2021-12-14 21:53:57","2021-12-17 17:56:32","244955.000000"
"PYTHON-3049","behackett","In Code Review","2021-12-14 21:53:57","2021-12-17 18:01:11","245234.000000"
"PYTHON-3049","behackett","Closed","2021-12-14 21:53:57","2021-12-17 20:22:11","253694.000000"
"PYTHON-3048","alexander.golin","Open","2021-12-14 01:51:33","2021-12-17 21:50:47","331154.000000"
"PYTHON-3047","alexander.golin","In Code Review","2021-12-13 21:46:52","2021-12-14 21:35:15","85703.000000"
